Alter;Männer;Frauen
0;378554;359226
1;418885;397301
2;411555;389257
3;415174;394185
4;422868;401676
5;427472;405401
6;429452;409134
7;418446;395605
8;414149;392206
9;400277;378635
10;400157;377684
11;390989;369701
12;399797;378158
13;394911;372221
14;403968;381933
15;402380;377187
16;397110;369649
17;402200;374220
18;415496;384875
19;417027;391952
20;431581;403798
21;449649;417262
22;479613;441155
23;494060;445375
24;506637;460597
25;528807;480009
26;523415;479455
27;514118;471655
28;518186;478060
29;529723;492988
30;535385;501774
31;550769;518929
32;597958;562862
33;587432;557175
34;599692;569322
35;584934;557748
36;570668;551608
37;551724;535200
38;545882;532652
39;543745;534886
40;551288;543719
41;542342;540992
42;542702;543546
43;515518;517229
44;507435;508662
45;501598;502631
46;489721;493630
47;477097;479186
48;479995;485555
49;481988;487891
50;521072;524214
51;570578;572410
52;589607;591055
53;632375;629582
54;659159;657143
55;672813;671976
56;687932;687020
57;687137;685483
58;694989;697555
59;684145;690083
60;657040;667892
61;640146;657451
62;613369;634093
63;589972;613407
64;551395;577440
65;531180;561826
66;508145;545032
67;483380;527573
68;463629;518226
69;440886;499729
70;433226;495929
71;417441;481728
72;410622;476805
73;391019;454862
74;350460;408936
75;320148;381163
76;270046;327331
77;228191;285065
78;296996;373322
79;292398;371780
80;271988;352809
81;312492;419619
82;307276;428012
83;282622;405294
84;241972;358082
85;204304;313020
86;174885;279620
87;146099;245047
88;115593;203495
89;76907;143495
90;61831;123654
91;50031;107134
92;40338;93988
93;29051;72750
94;21153;56398
95;13560;40846
96;8845;29894
97;5449;21455
98;3284;14327
99;2154;9331
100 und mehr;5193;19655
